product_id,warehouse_id,current_stock,reorder_point,safety_stock,last_updated
22540,W001,394,58,25,2026-06-30 20:00:49.794904
22544,W002,239,51,21,2026-06-30 20:00:49.794904
22492,W003,466,68,15,2026-06-30 20:00:49.794904
POST,W001,417,77,10,2026-06-30 20:00:49.794904
22086,W003,290,47,23,2026-06-30 20:00:49.794904
20679,W002,313,39,15,2026-06-30 20:00:49.794904
37370,W002,272,53,20,2026-06-30 20:00:49.794904
21871,W001,399,73,14,2026-06-30 20:00:49.794904
21071,W002,256,62,18,2026-06-30 20:00:49.794904
21068,W001,253,46,26,2026-06-30 20:00:49.794904
82483,W003,386,52,27,2026-06-30 20:00:49.794904
82486,W001,105,60,25,2026-06-30 20:00:49.794904
82482,W002,438,71,30,2026-06-30 20:00:49.794904
82494L,W003,169,46,19,2026-06-30 20:00:49.794904
21258,W002,124,32,23,2026-06-30 20:00:49.794904
22114,W002,61,70,11,2026-06-30 20:00:49.794904
21733,W001,79,67,16,2026-06-30 20:00:49.794904
22386,W001,243,71,27,2026-06-30 20:00:49.794904
85099C,W001,238,54,13,2026-06-30 20:00:49.794904
21033,W002,58,48,10,2026-06-30 20:00:49.794904
20723,W002,494,41,16,2026-06-30 20:00:49.794904
84997B,W002,400,40,14,2026-06-30 20:00:49.794904
84997C,W001,50,37,26,2026-06-30 20:00:49.794904
21094,W001,363,42,11,2026-06-30 20:00:49.794904
20725,W002,223,44,24,2026-06-30 20:00:49.794904
21559,W001,404,55,14,2026-06-30 20:00:49.794904
22352,W001,38,47,27,2026-06-30 20:00:49.794904
21212,W002,236,50,19,2026-06-30 20:00:49.794904
21975,W001,439,78,17,2026-06-30 20:00:49.794904
21977,W001,55,71,14,2026-06-30 20:00:49.794904
84991,W002,163,66,17,2026-06-30 20:00:49.794904
84519A,W003,172,72,25,2026-06-30 20:00:49.794904
85183B,W001,475,72,13,2026-06-30 20:00:49.794904
85071B,W003,382,73,12,2026-06-30 20:00:49.794904
21931,W003,132,48,23,2026-06-30 20:00:49.794904
21929,W003,273,46,16,2026-06-30 20:00:49.794904
22961,W002,362,43,27,2026-06-30 20:00:49.794904
22139,W001,85,38,25,2026-06-30 20:00:49.794904
84854,W003,490,73,11,2026-06-30 20:00:49.794904
22411,W002,164,71,13,2026-06-30 20:00:49.794904
82567,W002,462,52,21,2026-06-30 20:00:49.794904
21672,W002,222,79,26,2026-06-30 20:00:49.794904
22774,W002,296,45,13,2026-06-30 20:00:49.794904
22771,W001,193,46,15,2026-06-30 20:00:49.794904
71270,W002,136,63,30,2026-06-30 20:00:49.794904
22262,W001,91,76,21,2026-06-30 20:00:49.794904
22637,W003,96,34,21,2026-06-30 20:00:49.794904
21934,W003,50,48,23,2026-06-30 20:00:49.794904
21169,W002,76,34,15,2026-06-30 20:00:49.794904
21166,W002,384,51,29,2026-06-30 20:00:49.794904
21175,W002,404,62,14,2026-06-30 20:00:49.794904
37444A,W001,126,36,25,2026-06-30 20:00:49.794904
37444C,W003,368,41,15,2026-06-30 20:00:49.794904
22083,W003,410,63,18,2026-06-30 20:00:49.794904
84971S,W001,243,35,30,2026-06-30 20:00:49.794904
47580,W002,344,34,13,2026-06-30 20:00:49.794904
22261,W003,133,32,16,2026-06-30 20:00:49.794904
84832,W001,128,36,10,2026-06-30 20:00:49.794904
22644,W003,146,43,21,2026-06-30 20:00:49.794904
21533,W003,363,42,22,2026-06-30 20:00:49.794904
21557,W001,273,75,16,2026-06-30 20:00:49.794904
15056BL,W001,233,68,27,2026-06-30 20:00:49.794904
15056N,W001,230,47,26,2026-06-30 20:00:49.794904
22646,W003,197,44,27,2026-06-30 20:00:49.794904
22176,W003,119,39,11,2026-06-30 20:00:49.794904
22438,W001,324,40,17,2026-06-30 20:00:49.794904
22778,W003,408,34,12,2026-06-30 20:00:49.794904
22719,W003,460,31,15,2026-06-30 20:00:49.794904
21523,W003,61,74,30,2026-06-30 20:00:49.794904
D,W002,351,36,25,2026-06-30 20:00:49.794904
21912,W002,481,38,25,2026-06-30 20:00:49.794904
21832,W001,139,63,18,2026-06-30 20:00:49.794904
22379,W003,72,50,23,2026-06-30 20:00:49.794904
22381,W003,352,68,17,2026-06-30 20:00:49.794904
22798,W001,459,57,12,2026-06-30 20:00:49.794904
22926,W001,354,71,29,2026-06-30 20:00:49.794904
22839,W003,201,75,22,2026-06-30 20:00:49.794904
22838,W002,474,66,23,2026-06-30 20:00:49.794904
22783,W002,339,61,10,2026-06-30 20:00:49.794904
35004C,W003,341,54,13,2026-06-30 20:00:49.794904
82484,W003,135,60,13,2026-06-30 20:00:49.794904
84755,W002,276,38,11,2026-06-30 20:00:49.794904
22464,W003,366,37,12,2026-06-30 20:00:49.794904
21324,W002,462,57,27,2026-06-30 20:00:49.794904
22457,W001,405,36,12,2026-06-30 20:00:49.794904
22469,W003,271,49,23,2026-06-30 20:00:49.794904
22470,W002,500,47,15,2026-06-30 20:00:49.794904
22224,W002,439,67,29,2026-06-30 20:00:49.794904
21340,W001,456,76,17,2026-06-30 20:00:49.794904
22189,W002,492,78,10,2026-06-30 20:00:49.794904
22427,W003,231,44,11,2026-06-30 20:00:49.794904
22428,W003,360,35,18,2026-06-30 20:00:49.794904
22424,W002,259,37,12,2026-06-30 20:00:49.794904
22663,W002,360,42,16,2026-06-30 20:00:49.794904
85049A,W001,244,33,17,2026-06-30 20:00:49.794904
22168,W001,166,72,22,2026-06-30 20:00:49.794904
22662,W001,351,39,20,2026-06-30 20:00:49.794904
84880,W003,384,65,22,2026-06-30 20:00:49.794904
85099B,W001,373,59,23,2026-06-30 20:00:49.794904
79321,W003,390,67,23,2026-06-30 20:00:49.794904
22780,W002,275,42,15,2026-06-30 20:00:49.794904
22779,W001,438,51,14,2026-06-30 20:00:49.794904
22466,W001,99,70,22,2026-06-30 20:00:49.794904
21363,W001,207,36,15,2026-06-30 20:00:49.794904
21411,W002,126,36,15,2026-06-30 20:00:49.794904
22318,W001,150,33,30,2026-06-30 20:00:49.794904
22915,W003,236,31,13,2026-06-30 20:00:49.794904
22922,W002,481,64,10,2026-06-30 20:00:49.794904
22969,W002,340,80,16,2026-06-30 20:00:49.794904
22923,W002,426,66,23,2026-06-30 20:00:49.794904
21115,W002,322,39,16,2026-06-30 20:00:49.794904
22242,W003,408,56,24,2026-06-30 20:00:49.794904
22941,W001,356,73,15,2026-06-30 20:00:49.794904
21622,W002,169,51,30,2026-06-30 20:00:49.794904
35004G,W001,477,50,13,2026-06-30 20:00:49.794904
85014B,W003,63,51,14,2026-06-30 20:00:49.794904
85014A,W003,279,46,17,2026-06-30 20:00:49.794904
22193,W002,367,45,14,2026-06-30 20:00:49.794904
22192,W001,84,56,17,2026-06-30 20:00:49.794904
22191,W003,50,63,28,2026-06-30 20:00:49.794904
22195,W003,443,56,15,2026-06-30 20:00:49.794904
22196,W003,424,66,24,2026-06-30 20:00:49.794904
22962,W003,297,40,25,2026-06-30 20:00:49.794904
22963,W003,363,53,10,2026-06-30 20:00:49.794904
22968,W001,417,58,19,2026-06-30 20:00:49.794904
84970S,W002,416,79,11,2026-06-30 20:00:49.794904
22910,W003,126,64,17,2026-06-30 20:00:49.794904
20668,W001,366,52,24,2026-06-30 20:00:49.794904
22197,W001,422,70,11,2026-06-30 20:00:49.794904
22198,W003,216,37,13,2026-06-30 20:00:49.794904
21080,W003,272,80,20,2026-06-30 20:00:49.794904
21086,W001,42,47,30,2026-06-30 20:00:49.794904
21786,W002,80,59,26,2026-06-30 20:00:49.794904
22654,W002,140,63,19,2026-06-30 20:00:49.794904
21485,W003,58,59,28,2026-06-30 20:00:49.794904
84030E,W002,317,78,12,2026-06-30 20:00:49.794904
22174,W003,35,67,14,2026-06-30 20:00:49.794904
22556,W003,364,77,29,2026-06-30 20:00:49.794904
21984,W003,21,31,19,2026-06-30 20:00:49.794904
21983,W002,62,36,18,2026-06-30 20:00:49.794904
21980,W002,180,43,11,2026-06-30 20:00:49.794904
21484,W002,379,59,11,2026-06-30 20:00:49.794904
22557,W002,480,72,24,2026-06-30 20:00:49.794904
22553,W003,166,44,12,2026-06-30 20:00:49.794904
22150,W002,429,48,12,2026-06-30 20:00:49.794904
22619,W002,278,71,20,2026-06-30 20:00:49.794904
21891,W001,106,53,15,2026-06-30 20:00:49.794904
21889,W002,273,37,16,2026-06-30 20:00:49.794904
22827,W001,25,50,30,2026-06-30 20:00:49.794904
22127,W003,316,50,11,2026-06-30 20:00:49.794904
22128,W001,452,67,30,2026-06-30 20:00:49.794904
22502,W001,168,52,18,2026-06-30 20:00:49.794904
22338,W002,333,46,28,2026-06-30 20:00:49.794904
22180,W001,500,67,29,2026-06-30 20:00:49.794904
21506,W003,115,47,14,2026-06-30 20:00:49.794904
22866,W001,393,77,16,2026-06-30 20:00:49.794904
22865,W001,346,69,19,2026-06-30 20:00:49.794904
22349,W001,356,36,16,2026-06-30 20:00:49.794904
22558,W001,375,75,22,2026-06-30 20:00:49.794904
85152,W001,56,45,11,2026-06-30 20:00:49.794904
22652,W003,112,45,11,2026-06-30 20:00:49.794904
22188,W001,218,39,25,2026-06-30 20:00:49.794904
21314,W002,416,37,30,2026-06-30 20:00:49.794904
22730,W001,112,50,16,2026-06-30 20:00:49.794904
22729,W002,25,41,15,2026-06-30 20:00:49.794904
22867,W003,142,71,12,2026-06-30 20:00:49.794904
22803,W001,226,33,21,2026-06-30 20:00:49.794904
35004B,W003,222,39,22,2026-06-30 20:00:49.794904
21844,W002,30,57,27,2026-06-30 20:00:49.794904
22468,W002,391,54,29,2026-06-30 20:00:49.794904
48185,W002,29,70,28,2026-06-30 20:00:49.794904
21232,W001,481,32,30,2026-06-30 20:00:49.794904
22064,W002,73,60,27,2026-06-30 20:00:49.794904
22449,W001,31,54,28,2026-06-30 20:00:49.794904
22835,W002,109,78,12,2026-06-30 20:00:49.794904
22112,W001,274,59,19,2026-06-30 20:00:49.794904
21479,W003,79,51,11,2026-06-30 20:00:49.794904
22111,W003,302,77,27,2026-06-30 20:00:49.794904
22110,W002,124,58,19,2026-06-30 20:00:49.794904
22098,W001,104,73,26,2026-06-30 20:00:49.794904
22100,W002,33,68,17,2026-06-30 20:00:49.794904
22766,W001,185,38,30,2026-06-30 20:00:49.794904
22451,W001,114,75,15,2026-06-30 20:00:49.794904
22549,W002,371,33,14,2026-06-30 20:00:49.794904
84744,W002,449,57,27,2026-06-30 20:00:49.794904
85049E,W003,403,59,26,2026-06-30 20:00:49.794904
21328,W002,66,53,26,2026-06-30 20:00:49.794904
17091A,W002,145,51,10,2026-06-30 20:00:49.794904
22473,W003,206,79,25,2026-06-30 20:00:49.794904
84509A,W003,156,71,28,2026-06-30 20:00:49.794904
84510A,W002,389,37,25,2026-06-30 20:00:49.794904
22767,W003,385,69,23,2026-06-30 20:00:49.794904
22768,W003,62,64,23,2026-06-30 20:00:49.794904
21463,W001,212,66,28,2026-06-30 20:00:49.794904
21464,W001,249,49,13,2026-06-30 20:00:49.794904
20820,W002,236,68,10,2026-06-30 20:00:49.794904
85150,W002,277,39,24,2026-06-30 20:00:49.794904
22117,W001,385,73,12,2026-06-30 20:00:49.794904
48129,W002,322,67,23,2026-06-30 20:00:49.794904
82580,W002,311,60,12,2026-06-30 20:00:49.794904
82578,W003,265,57,11,2026-06-30 20:00:49.794904
82581,W002,92,68,11,2026-06-30 20:00:49.794904
22413,W003,301,70,19,2026-06-30 20:00:49.794904
21907,W003,454,34,27,2026-06-30 20:00:49.794904
22441,W003,278,66,28,2026-06-30 20:00:49.794904
21122,W001,157,59,22,2026-06-30 20:00:49.794904
22851,W003,449,52,27,2026-06-30 20:00:49.794904
22810,W001,285,32,29,2026-06-30 20:00:49.794904
22809,W001,171,80,22,2026-06-30 20:00:49.794904
22435,W002,402,47,27,2026-06-30 20:00:49.794904
20966,W003,59,45,13,2026-06-30 20:00:49.794904
20963,W001,496,67,14,2026-06-30 20:00:49.794904
20961,W003,302,32,22,2026-06-30 20:00:49.794904
22068,W002,183,52,27,2026-06-30 20:00:49.794904
21743,W002,461,56,30,2026-06-30 20:00:49.794904
21744,W003,104,56,27,2026-06-30 20:00:49.794904
84709B,W003,255,76,13,2026-06-30 20:00:49.794904
21592,W001,114,43,21,2026-06-30 20:00:49.794904
21587,W002,459,48,17,2026-06-30 20:00:49.794904
20992,W001,327,35,15,2026-06-30 20:00:49.794904
22804,W003,414,51,14,2026-06-30 20:00:49.794904
20749,W002,446,64,29,2026-06-30 20:00:49.794904
22382,W002,419,36,26,2026-06-30 20:00:49.794904
20726,W001,253,69,30,2026-06-30 20:00:49.794904
22384,W003,296,35,11,2026-06-30 20:00:49.794904
22467,W003,203,60,26,2026-06-30 20:00:49.794904
84625C,W003,436,62,21,2026-06-30 20:00:49.794904
84625A,W003,336,35,22,2026-06-30 20:00:49.794904
21108,W002,85,64,15,2026-06-30 20:00:49.794904
22848,W003,373,50,29,2026-06-30 20:00:49.794904
47570B,W001,335,44,17,2026-06-30 20:00:49.794904
22837,W003,454,35,21,2026-06-30 20:00:49.794904
22297,W002,55,75,17,2026-06-30 20:00:49.794904
22772,W003,175,36,13,2026-06-30 20:00:49.794904
22773,W003,479,72,11,2026-06-30 20:00:49.794904
22805,W002,134,76,26,2026-06-30 20:00:49.794904
21125,W001,263,30,15,2026-06-30 20:00:49.794904
21126,W002,308,46,24,2026-06-30 20:00:49.794904
85049C,W003,261,62,12,2026-06-30 20:00:49.794904
85049D,W001,188,43,30,2026-06-30 20:00:49.794904
85049G,W003,271,54,19,2026-06-30 20:00:49.794904
21061,W001,363,55,17,2026-06-30 20:00:49.794904
21063,W003,495,59,14,2026-06-30 20:00:49.794904
21062,W003,171,52,30,2026-06-30 20:00:49.794904
84380,W002,151,69,12,2026-06-30 20:00:49.794904
84378,W001,361,58,16,2026-06-30 20:00:49.794904
22964,W001,334,52,24,2026-06-30 20:00:49.794904
21213,W001,497,31,13,2026-06-30 20:00:49.794904
22417,W002,233,48,17,2026-06-30 20:00:49.794904
84992,W003,44,63,30,2026-06-30 20:00:49.794904
22383,W001,277,31,29,2026-06-30 20:00:49.794904
20728,W002,458,65,27,2026-06-30 20:00:49.794904
20727,W001,404,63,21,2026-06-30 20:00:49.794904
22296,W001,126,72,19,2026-06-30 20:00:49.794904
20914,W002,408,31,10,2026-06-30 20:00:49.794904
22537,W003,55,44,10,2026-06-30 20:00:49.794904
22533,W001,342,43,18,2026-06-30 20:00:49.794904
20982,W002,475,68,25,2026-06-30 20:00:49.794904
21915,W003,379,58,27,2026-06-30 20:00:49.794904
21914,W003,415,38,25,2026-06-30 20:00:49.794904
21544,W001,283,32,19,2026-06-30 20:00:49.794904
22813,W003,187,44,27,2026-06-30 20:00:49.794904
84375,W002,348,76,24,2026-06-30 20:00:49.794904
22418,W003,34,51,13,2026-06-30 20:00:49.794904
22178,W001,156,77,13,2026-06-30 20:00:49.794904
84970L,W001,132,60,29,2026-06-30 20:00:49.794904
22465,W002,337,48,21,2026-06-30 20:00:49.794904
84949,W003,468,39,26,2026-06-30 20:00:49.794904
20685,W002,438,51,12,2026-06-30 20:00:49.794904
48194,W002,388,68,27,2026-06-30 20:00:49.794904
22488,W002,114,49,23,2026-06-30 20:00:49.794904
22219,W003,232,74,29,2026-06-30 20:00:49.794904
22610,W002,34,72,29,2026-06-30 20:00:49.794904
22716,W001,129,49,26,2026-06-30 20:00:49.794904
22706,W001,383,69,26,2026-06-30 20:00:49.794904
22371,W001,335,54,16,2026-06-30 20:00:49.794904
21210,W002,262,30,23,2026-06-30 20:00:49.794904
16237,W003,167,79,27,2026-06-30 20:00:49.794904
22714,W001,194,60,14,2026-06-30 20:00:49.794904
22812,W002,227,36,24,2026-06-30 20:00:49.794904
84347,W002,237,61,26,2026-06-30 20:00:49.794904
22736,W001,397,69,20,2026-06-30 20:00:49.794904
22620,W003,372,30,12,2026-06-30 20:00:49.794904
21705,W003,88,71,26,2026-06-30 20:00:49.794904
90199C,W001,76,35,15,2026-06-30 20:00:49.794904
22785,W002,212,61,25,2026-06-30 20:00:49.794904
22975,W002,171,55,14,2026-06-30 20:00:49.794904
22972,W002,208,58,19,2026-06-30 20:00:49.794904
22568,W003,33,64,17,2026-06-30 20:00:49.794904
85116,W001,236,43,23,2026-06-30 20:00:49.794904
22664,W002,25,53,24,2026-06-30 20:00:49.794904
21609,W003,140,55,17,2026-06-30 20:00:49.794904
21866,W003,130,75,13,2026-06-30 20:00:49.794904
20669,W002,482,59,30,2026-06-30 20:00:49.794904
90129F,W003,50,41,27,2026-06-30 20:00:49.794904
90210B,W001,364,54,14,2026-06-30 20:00:49.794904
21955,W003,70,65,29,2026-06-30 20:00:49.794904
72802C,W001,25,31,28,2026-06-30 20:00:49.794904
22109,W002,328,35,17,2026-06-30 20:00:49.794904
22531,W003,373,63,19,2026-06-30 20:00:49.794904
21811,W002,276,71,14,2026-06-30 20:00:49.794904
22183,W002,331,66,27,2026-06-30 20:00:49.794904
21678,W003,147,44,21,2026-06-30 20:00:49.794904
21676,W003,245,56,15,2026-06-30 20:00:49.794904
85169B,W001,282,57,22,2026-06-30 20:00:49.794904
16238,W002,491,58,30,2026-06-30 20:00:49.794904
84906,W001,486,40,12,2026-06-30 20:00:49.794904
21867,W003,40,31,28,2026-06-30 20:00:49.794904
22075,W003,161,65,27,2026-06-30 20:00:49.794904
21326,W002,218,43,10,2026-06-30 20:00:49.794904
21065,W001,402,62,29,2026-06-30 20:00:49.794904
22074,W001,189,76,16,2026-06-30 20:00:49.794904
20713,W003,379,34,26,2026-06-30 20:00:49.794904
21116,W002,310,67,22,2026-06-30 20:00:49.794904
21824,W001,180,61,27,2026-06-30 20:00:49.794904
21823,W002,216,52,19,2026-06-30 20:00:49.794904
22153,W003,209,56,15,2026-06-30 20:00:49.794904
85099F,W002,252,31,28,2026-06-30 20:00:49.794904
20717,W001,165,69,14,2026-06-30 20:00:49.794904
22328,W002,33,40,10,2026-06-30 20:00:49.794904
22327,W001,250,46,19,2026-06-30 20:00:49.794904
22630,W001,396,75,28,2026-06-30 20:00:49.794904
21245,W001,71,67,20,2026-06-30 20:00:49.794904
21244,W003,479,44,30,2026-06-30 20:00:49.794904
21242,W003,21,56,18,2026-06-30 20:00:49.794904
21243,W002,435,68,29,2026-06-30 20:00:49.794904
22273,W002,78,72,11,2026-06-30 20:00:49.794904
22940,W002,129,34,19,2026-06-30 20:00:49.794904
22759,W001,97,43,15,2026-06-30 20:00:49.794904
21880,W002,432,58,17,2026-06-30 20:00:49.794904
21738,W001,99,50,21,2026-06-30 20:00:49.794904
22077,W002,275,41,17,2026-06-30 20:00:49.794904
21448,W002,312,69,21,2026-06-30 20:00:49.794904
22243,W001,117,30,10,2026-06-30 20:00:49.794904
22141,W003,25,56,14,2026-06-30 20:00:49.794904
22144,W003,166,72,22,2026-06-30 20:00:49.794904
21739,W001,373,57,26,2026-06-30 20:00:49.794904
22271,W003,83,65,24,2026-06-30 20:00:49.794904
22274,W003,471,65,13,2026-06-30 20:00:49.794904
22751,W002,69,77,28,2026-06-30 20:00:49.794904
21034,W001,255,76,23,2026-06-30 20:00:49.794904
22570,W002,496,56,10,2026-06-30 20:00:49.794904
22569,W002,219,52,24,2026-06-30 20:00:49.794904
22902,W002,54,31,21,2026-06-30 20:00:49.794904
21710,W001,488,64,12,2026-06-30 20:00:49.794904
21708,W001,303,46,15,2026-06-30 20:00:49.794904
21711,W002,471,30,16,2026-06-30 20:00:49.794904
22179,W003,206,74,28,2026-06-30 20:00:49.794904
21706,W003,416,80,20,2026-06-30 20:00:49.794904
85184C,W001,249,36,10,2026-06-30 20:00:49.794904
22988,W001,145,52,30,2026-06-30 20:00:49.794904
20750,W003,322,58,28,2026-06-30 20:00:49.794904
22952,W002,258,77,18,2026-06-30 20:00:49.794904
22739,W003,346,57,18,2026-06-30 20:00:49.794904
22738,W002,92,80,23,2026-06-30 20:00:49.794904
22909,W003,194,71,28,2026-06-30 20:00:49.794904
35591T,W003,353,37,24,2026-06-30 20:00:49.794904
22186,W001,99,37,18,2026-06-30 20:00:49.794904
22695,W001,296,75,10,2026-06-30 20:00:49.794904
22580,W003,210,79,22,2026-06-30 20:00:49.794904
22147,W001,48,32,11,2026-06-30 20:00:49.794904
22130,W002,210,72,22,2026-06-30 20:00:49.794904
22694,W003,206,61,28,2026-06-30 20:00:49.794904
21790,W003,194,66,18,2026-06-30 20:00:49.794904
22149,W001,178,68,20,2026-06-30 20:00:49.794904
22321,W002,90,66,17,2026-06-30 20:00:49.794904
22594,W003,410,62,13,2026-06-30 20:00:49.794904
22593,W001,88,68,12,2026-06-30 20:00:49.794904
22595,W002,388,48,18,2026-06-30 20:00:49.794904
21986,W003,427,63,17,2026-06-30 20:00:49.794904
22750,W002,396,38,16,2026-06-30 20:00:49.794904
22616,W003,365,50,20,2026-06-30 20:00:49.794904
22775,W002,74,70,25,2026-06-30 20:00:49.794904
22899,W001,453,80,29,2026-06-30 20:00:49.794904
22367,W001,387,77,10,2026-06-30 20:00:49.794904
22942,W001,446,78,26,2026-06-30 20:00:49.794904
21976,W001,391,50,24,2026-06-30 20:00:49.794904
22951,W002,162,75,24,2026-06-30 20:00:49.794904
22834,W001,455,70,17,2026-06-30 20:00:49.794904
21916,W003,160,54,30,2026-06-30 20:00:49.794904
22587,W003,476,37,11,2026-06-30 20:00:49.794904
22566,W003,140,63,30,2026-06-30 20:00:49.794904
22565,W001,160,42,21,2026-06-30 20:00:49.794904
22472,W001,159,75,17,2026-06-30 20:00:49.794904
22551,W002,375,67,24,2026-06-30 20:00:49.794904
22554,W002,147,73,12,2026-06-30 20:00:49.794904
22534,W002,221,47,24,2026-06-30 20:00:49.794904
22529,W003,259,79,19,2026-06-30 20:00:49.794904
22530,W001,85,56,25,2026-06-30 20:00:49.794904
84032B,W001,402,30,27,2026-06-30 20:00:49.794904
85049H,W001,311,43,16,2026-06-30 20:00:49.794904
22807,W002,114,60,30,2026-06-30 20:00:49.794904
21494,W003,400,57,26,2026-06-30 20:00:49.794904
22938,W003,87,46,21,2026-06-30 20:00:49.794904
21892,W003,283,79,12,2026-06-30 20:00:49.794904
21890,W002,322,58,15,2026-06-30 20:00:49.794904
21718,W001,225,69,14,2026-06-30 20:00:49.794904
21716,W002,337,58,24,2026-06-30 20:00:49.794904
21715,W002,411,46,20,2026-06-30 20:00:49.794904
22113,W003,247,38,15,2026-06-30 20:00:49.794904
22358,W001,305,67,11,2026-06-30 20:00:49.794904
22357,W002,291,45,12,2026-06-30 20:00:49.794904
22115,W001,307,48,27,2026-06-30 20:00:49.794904
21481,W003,345,49,19,2026-06-30 20:00:49.794904
22585,W002,152,57,11,2026-06-30 20:00:49.794904
21556,W003,471,32,20,2026-06-30 20:00:49.794904
22645,W001,277,39,26,2026-06-30 20:00:49.794904
22650,W002,411,62,30,2026-06-30 20:00:49.794904
22508,W001,117,68,22,2026-06-30 20:00:49.794904
22511,W003,28,41,22,2026-06-30 20:00:49.794904
22829,W002,367,39,12,2026-06-30 20:00:49.794904
21154,W003,367,62,29,2026-06-30 20:00:49.794904
17021,W002,364,75,21,2026-06-30 20:00:49.794904
22059,W001,370,57,14,2026-06-30 20:00:49.794904
84678,W003,430,58,23,2026-06-30 20:00:49.794904
85172,W002,401,48,21,2026-06-30 20:00:49.794904
22142,W002,353,39,20,2026-06-30 20:00:49.794904
21591,W001,228,37,10,2026-06-30 20:00:49.794904
22480,W003,442,70,25,2026-06-30 20:00:49.794904
22294,W003,154,64,21,2026-06-30 20:00:49.794904
21156,W001,414,44,23,2026-06-30 20:00:49.794904
10133,W001,257,49,25,2026-06-30 20:00:49.794904
72800E,W002,496,65,26,2026-06-30 20:00:49.794904
84836,W001,154,48,18,2026-06-30 20:00:49.794904
20774,W001,316,42,15,2026-06-30 20:00:49.794904
20773,W003,445,58,29,2026-06-30 20:00:49.794904
20777,W002,93,34,13,2026-06-30 20:00:49.794904
16016,W003,421,34,12,2026-06-30 20:00:49.794904
16014,W003,285,63,16,2026-06-30 20:00:49.794904
21651,W001,227,76,19,2026-06-30 20:00:49.794904
22618,W001,414,71,16,2026-06-30 20:00:49.794904
21586,W002,385,78,15,2026-06-30 20:00:49.794904
22152,W001,100,74,15,2026-06-30 20:00:49.794904
84754,W001,57,45,10,2026-06-30 20:00:49.794904
22670,W001,180,71,10,2026-06-30 20:00:49.794904
84849B,W003,81,75,17,2026-06-30 20:00:49.794904
22927,W001,47,67,30,2026-06-30 20:00:49.794904
22925,W002,434,33,28,2026-06-30 20:00:49.794904
21259,W002,132,40,22,2026-06-30 20:00:49.794904
21257,W003,297,63,15,2026-06-30 20:00:49.794904
21121,W003,315,61,20,2026-06-30 20:00:49.794904
82552,W003,407,38,15,2026-06-30 20:00:49.794904
90200B,W002,124,79,29,2026-06-30 20:00:49.794904
90059B,W002,349,54,29,2026-06-30 20:00:49.794904
90185C,W002,342,53,11,2026-06-30 20:00:49.794904
90059E,W003,40,57,23,2026-06-30 20:00:49.794904
90059C,W003,151,52,14,2026-06-30 20:00:49.794904
90200C,W003,168,59,23,2026-06-30 20:00:49.794904
90200D,W002,195,35,14,2026-06-30 20:00:49.794904
90200A,W003,294,39,16,2026-06-30 20:00:49.794904
22737,W002,394,39,28,2026-06-30 20:00:49.794904
21260,W001,26,41,16,2026-06-30 20:00:49.794904
22744,W001,192,79,25,2026-06-30 20:00:49.794904
